species,_folder,_long,_short,_host,_ptgaul_genomesize,_compare_n,_compare_p,_compare_r,_polish_n,_polish_p,_random_seed,_ssh,_memory,_downsample,_inum,_table1,_table2,dummy,_status
Eucalyptus_pauciflora-0,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,160000,50,10,10,5,5,155,siepel,16,10,0,T,F,dummy,done
Eucalyptus_pauciflora-1,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,160000,50,1:5:10,10,5,5,155,lab01,16,0,1,F,F,dummy,done
Eucalyptus_pauciflora-test,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,160000,5,10,3,5,5,155,siepel,16,15,2,F,F,dummy,start
Eucalyptus_pauciflora-all,Eucalyptus_pauciflora,SRR7153095,SRR7161123,siepel,160000,5,1,5,5,5,155,siepel,16,0,3,F,F,dummy,start
Euonymus_alatus-0,Euonymus_alatus,SRR16133411,SRR16122871,kishino,160000,20,10,10,5,5,137,kishino,32,10,0,T,F,dummy,inprogress
Euonymus_alatus-1,Euonymus_alatus,SRR16133411,SRR16122871,kishino,160000,20,10,10,5,5,137,kishino,16,30,1,F,F,dummy,done
Gossypium_herbaceum-0,Gossypium_herbaceum,SRR17224483,SRR17211914,kishino,160000,20,10,10,5,5,115,kishino,16,10,0,T,F,dummy,done
Gossypium_herbaceum-1,Gossypium_herbaceum,SRR17224483,SRR17211914,kishino,160000,20,1,10,5,5,115,kishino,16,30,1,F,F,dummy,done
Juncus_effusus-0,Juncus_effusus,SRR14298760,SRR14298746,kishino,180000,50,10,10,5,5,125,kishino,48,10,0,T,F,dummy,done
Juncus_effusus-1,Juncus_effusus,SRR14298760,SRR14298746,kishino,180000,50,1:5:10,10,5,5,125,kishino,48,30,0,F,F,dummy,done
Juncus_inflexus-0,Juncus_inflexus,SRR14298751,SRR14298745,lab01,180000,50,10,10,5,5,123,lab01,32,10,0,F,F,dummy,inprogress
Juncus_inflexus-1,Juncus_inflexus,SRR14298751,SRR14298745,vincent,180000,50,1:5:10,10,5,5,123,vincent,32,30,0,F,F,dummy,not-yet
Juncus_roemerianus-0,Juncus_roemerianus,SRR21976090,SRR21976092,user1-X99-PR8-H,200000,50,10,10,5,5,161,lab01,32,20,0,T,F,dummy,low-pident
Juncus_roemerianus-1,Juncus_roemerianus,SRR21976090,SRR21976092,user1-X99-PR8-H,200000,50,5:10:20,10,5,5,161,lab01,16,300,1,F,F,dummy,not-yet
Juncus_validus-0,Juncus_validus,SRR21976089,SRR21976091,marybeth,160000,50,10,10,5,5,113,marybeth,16,10,0,T,F,dummy,inprogress
Juncus_validus-1,Juncus_validus,SRR21976089,SRR21976091,marybeth,160000,50,5:10:20,10,5,5,113,marybeth,16,30,1,F,F,dummy,done
Leiosporoceros_dussii-0,Leiosporoceros_dussii,SRR25387688,SRR25387689,vincent,160000,20,10,10,5,5,163,vincent,16,10,0,T,F,dummy,done
Leiosporoceros_dussii-1,Leiosporoceros_dussii,SRR25387688,SRR25387689,vincent,160000,20,10,10,5,5,163,vincent,16,30,1,F,F,dummy,done
Macadamia_jansenii-0,Macadamia_jansenii,SRR11191910,SRR11191912,kishino,160000,20,10,10,5,5,145,kishino,16,10,0,T,F,dummy,done
Macadamia_jansenii-1,Macadamia_jansenii,SRR11191910,SRR11191912,kishino,160000,20,10,10,5,5,145,kishino,16,30,1,F,F,dummy,done
Musa_acuminata_subsp_malaccensis-0,Musa_acuminata_subsp_malaccensis,ERR5455028,ERR3606950,kishino,160000,20,10,10,5,5,109,kishino,16,10,0,T,F,dummy,done
Musa_acuminata_subsp_malaccensis-1,Musa_acuminata_subsp_malaccensis,ERR5455028,ERR3606950,kishino,160000,20,1,10,5,5,109,kishino,16,0,1,F,F,dummy,done
Notothylas_orbicularis-0,Notothylas_orbicularis,SRR25405055,SRR25405056,siepel,160000,20,10,10,5,5,111,siepel,16,10,0,F,T,dummy,unknown-pt-hornworts
Notothylas_orbicularis-1,Notothylas_orbicularis,SRR25405055,SRR25405056,siepel,160000,20,10,10,5,5,111,siepel,16,30,1,F,F,dummy,unknown-pt-hornworts
Ophrys_lutea-0,Ophrys_lutea,ERR5167480,ERR5303530,siepel,160000,20,10,10,5,5,147,siepel,16,10,0,T,F,dummy,done
Ophrys_lutea-1,Ophrys_lutea,ERR5167480,ERR5303530,siepel,160000,20,10,10,5,5,147,siepel,16,300,1,F,F,dummy,done-down
Oryza_rufipogon-0,Oryza_rufipogon,SRR12104676,SRR12102351,siepel,160000,20,10,10,5,5,107,siepel,16,10,0,T,F,dummy,done
Oryza_rufipogon-1,Oryza_rufipogon,SRR12104676,SRR12102351,user1-X99-PR8-H,160000,20,10,10,5,5,107,lab01,16,30,1,F,F,dummy,done
Phaeomegaceros_chiloensis-0,Phaeomegaceros_chiloensis,SRR25430413,SRR25430414,kishino,160000,20,10,10,5,5,105,kishino,16,10,0,F,T,dummy,unknown-pt
Phaeomegaceros_chiloensis-1,Phaeomegaceros_chiloensis,SRR25430413,SRR25430414,kishino,160000,20,10,10,5,5,105,kishino,16,30,1,F,F,dummy,not-yet-unknown-pt
Pisum_sativum-0,Pisum_sativum,DRR244482,DRR244484,vincent,160000,20,10,10,5,5,153,vincent,32,1,0,F,F,dummy,downsample10
Pisum_sativum-1,Pisum_sativum,DRR244482,DRR244484,vincent,160000,20,1,10,5,5,153,vincent,16,30,1,F,F,dummy,inprogress
Populus_x_sibirica,Populus_x_sibirica,SRR15146668,SRR12963707,marybeth,160000,20,10,10,5,5,103,marybeth,16,30,0,F,F,dummy,done
Prunus_mandshurica-0,Prunus_mandshurica,ERR4656977,ERR4656978,siepel,160000,20,10,10,5,5,149,siepel,32,10,0,T,F,dummy,done
Prunus_mandshurica-1,Prunus_mandshurica,ERR4656977,ERR4656978,kishino,160000,20,1,10,5,5,149,kishino,32,30,1,F,F,dummy,done
Pterocarpus_santalinus-0,Pterocarpus_santalinus,SRR22806276,SRR22806277,vincent,160000,20,10,10,5,5,119,vincent,16,10,0,T,F,dummy,done
Pterocarpus_santalinus-1,Pterocarpus_santalinus,SRR22806276,SRR22806277,vincent,160000,20,10,10,5,5,119,vincent,16,30,1,F,F,dummy,done
Solanum_lycopersicum-0,Solanum_lycopersicum,SRR11073833,SRR11205474,marybeth,160000,20,10,10,5,5,141,marybeth,16,10,0,F,F,dummy,inprogress
Solanum_lycopersicum-1,Solanum_lycopersicum,SRR11073833,SRR11205474,marybeth,160000,20,10,10,5,5,141,marybeth,16,30,1,F,F,dummy,done
Spirodela_polyrhiza-0,Spirodela_polyrhiza,SRR11472010,SRR11472009,kishino,160000,20,10,10,5,5,143,kishino,16,10,0,T,F,dummy,done
Spirodela_polyrhiza-1,Spirodela_polyrhiza,SRR11472010,SRR11472009,kishino,160000,20,10,10,5,5,143,kishino,16,30,1,F,F,dummy,done-check-pident
Vaccinium_vitis-idaea-0,Vaccinium_vitis-idaea,SRR25468450,SRR25477290,siepel,160000,20,10,10,5,5,129,siepel,16,10,0,T,F,dummy,done
Vaccinium_vitis-idaea-1,Vaccinium_vitis-idaea,SRR25468450,SRR25477290,siepel,160000,20,10,10,5,5,129,siepel,16,30,1,F,F,dummy,done
Vitis_vinifera-0,Vitis_vinifera,SRR26163227,SRR26163231,user1-X99-PR8-H,160000,20,10,10,5,5,101,lab01,16,10,0,T,F,dummy,inprogress
Vitis_vinifera-1,Vitis_vinifera,SRR26163227,SRR26163231,user1-X99-PR8-H,160000,20,10,10,5,5,101,lab01,16,30,1,F,F,dummy,done
Test_test,Test_test,SRRTESTL,SRRTESTS,thorne,160000,20,10,10,5,5,101,thorne,16,30,0,F,F,dummy,test
