Contig Length V3 V4 V5 Copy V7 V8 MT PT Edge
contig_42 4124 1 N Y 1 none * 0 1 42
contig_43 1466 1 N Y 1 none * 0 0 43
contig_44 4569 2 N Y 1 none * 0 1 44
contig_46 1526 1 N Y 1 none * 0 0 46
contig_47 1735 1 N Y 1 none * 0 0 47
contig_48 9909 1 N Y 1 none * 0 1 48
contig_49 9314 2 N Y 1 none * 0 3 49
contig_50 748 3 N Y 1 none * 0 0 50
contig_51 661 32 N Y 1 none * 0 0 51
contig_52 45539 1 N Y 1 none * 8 8 52
contig_53 16301 2 N Y 1 none * 0 4 53
contig_54 3621 1 N Y 1 none * 0 0 54
contig_55 3273 1 N Y 1 none * 0 0 55
contig_58 8024 2 N Y 1 none * 0 0 58
contig_63 25839 0 N Y 1 both * 5 5 63
contig_64 1280 1 N Y 1 right * 0 2 64
contig_67 16558 1 N Y 1 none * 0 0 67
contig_68 2466 16 N Y 1 both 12 0 0 68
contig_75 996 1 N Y 1 right * 0 0 75
contig_76 8096 1 N Y 1 right * 1 3 76
contig_79 12808 30 N Y 1 both * 0 0 79
contig_85 823 12 N Y 1 none * 0 0 85
contig_111 12251 12 N Y 1 both 14 0 0 111
contig_112 4803 0 N Y 1 both 14 0 0 112
contig_113 501 1 Y Y 1 none 6 0 0 113
contig_114 3744 1 N Y 1 both 16 0 0 114
contig_115 3921 21 N Y 1 both 16 0 0 115
contig_120 3926 3 N Y 1 both 18 0 0 120
contig_121 3844 1 N Y 1 both 18 0 0 121
contig_126 2413 1 N Y 1 both 12 0 0 126
contig_129 6161 7 N Y 1 both 20 0 0 129
contig_130 6210 8 N Y 1 both 20 0 0 130
contig_131 6392 6 N Y 1 both 22 0 0 131
contig_132 15364 11 N Y 1 both 22 0 0 132
contig_133 12622 18 N Y 1 both 24 0 0 133
contig_134 4706 1 N Y 1 both 24 0 0 134
contig_135 10275 15 N Y 1 both 26 0 0 135
contig_136 9899 1 N Y 1 both 26 0 0 136
contig_138 1443 16 N Y 1 both 28 0 0 138
contig_139 1376 1 N Y 1 both 28 0 0 139
contig_144 10563 15 N Y 1 both 30 0 0 144
contig_145 7507 1 N Y 1 both 30 0 0 145
contig_146 651 1 N Y 1 both 32 0 0 146
contig_147 897 8 N Y 1 both 32 0 0 147
contig_149 25087 1 N Y 1 both 34 0 0 149
contig_150 2030 11 N Y 1 both 36 0 0 150
contig_151 1863 1 N Y 1 both 36 0 0 151
contig_152 2443 23 N Y 1 both 38 0 0 152
contig_153 1804 0 N Y 1 both 38 0 0 153
contig_156 8080 36 N Y 1 none * 0 0 156
contig_158 5453 26 N Y 1 both 40 0 0 158
contig_161 2562 2 N Y 1 none * 0 0 161
contig_164 28043 15 N Y 1 both 42 0 0 164
contig_165 29728 6 N Y 1 both 42 0 0 165
contig_166 30863 13 N Y 1 both 44 0 0 166
contig_167 30284 1 N Y 1 both 44 0 0 167
contig_169 18431 10 N Y 1 both 46 0 0 169
contig_170 14623 1 N Y 1 both 46 0 0 170
contig_171 16981 31 Y Y 1 none * 0 0 171
contig_173 16207 17 N Y 1 both 48 0 0 173
contig_174 11283 1 N Y 1 both 48 0 0 174
contig_175 9959 20 Y Y 1 none 8 0 0 175
contig_176 5917 16 N Y 1 both 50 0 0 176
contig_177 5752 1 N Y 1 both 50 0 0 177
contig_180 33672 1 N Y 1 both 52 0 0 180
contig_181 43035 6 N Y 1 both 52 0 0 181
contig_184 7758 6 N Y 1 both 54 0 0 184
contig_190 21956 2 N Y 1 both 56 0 0 190
contig_191 28176 7 N Y 1 both 56 0 0 191
contig_192 29176 5 N Y 1 both 58 0 0 192
contig_193 31735 7 N Y 1 both 58 0 0 193
contig_196 14721 37 Y Y 1 none * 0 0 196
contig_197 3251 8 N Y 1 both 60 0 0 197
contig_198 6441 8 N Y 1 both 60 0 0 198
contig_199 48873 1 N Y 1 left * 1 10 199
contig_203 6762 17 Y Y 1 none 10 0 0 203
contig_206 11056 35 N Y 1 both * 0 0 206
contig_208 6200 34 N Y 1 both * 0 0 208
contig_209 26148 19 N Y 1 both 34 0 0 209
contig_20 553 55 N Y 2 none * 0 0 20
contig_83 553 40 N Y 2 none * 0 0 83
contig_100 2518 57 N Y 2 none * 0 0 100
contig_103 837 60 N Y 2 none * 0 0 103
contig_178 14672 44 Y Y 2 none * 0 0 178
contig_179 12835 48 Y Y 2 none * 0 0 179
contig_183 35955 56 N Y 2 none * 0 0 183
contig_185 3936 52 N Y 2 both 54 0 0 185
contig_186 7381 38 N Y 2 none * 0 0 186
contig_98 578 68 N Y 3 none * 0 0 98
contig_102 2431 85 N Y 3 none * 0 0 102
contig_155 1862 67 N Y 3 none * 0 0 155
contig_122 2532 102 N Y 4 both * 0 0 122
contig_123 18585 90 N Y 4 left * 0 0 123
contig_157 683 89 N Y 4 both 40 0 0 157
contig_159 784 89 N Y 4 none * 0 0 159
contig_4 530 152 N Y 6 none * 0 0 4
contig_154 9276 184 N Y 7 none * 0 0 154
contig_163 49016 185 N Y 7 none * 9 3 163
contig_210 175281 181 N Y 7 none * 35 3 210
contig_162 1783 402 N Y 16 none * 0 0 162
contig_3 508 7470 N Y 299 none * 0 0 3
